Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothEDRPower,BluetoothBDRPower,BluetoothLEPower
0,0,0,0,0,0,1,64,64,30
0,0,0,0,0,1,1,64,64,30
0,0,0,0,1,0,1,64,64,30
0,0,0,0,1,1,1,64,64,30
0,0,0,1,0,0,1,64,64,30
0,0,0,1,0,1,1,64,64,30
0,0,0,1,1,0,1,64,64,30
0,0,0,1,1,1,1,64,64,30
0,0,1,0,0,0,1,64,64,30
0,0,1,0,0,1,1,64,64,30
0,0,1,0,1,0,1,64,64,30
0,0,1,0,1,1,1,64,64,30
0,0,1,1,0,0,1,64,64,30
0,0,1,1,0,1,1,64,64,30
0,0,1,1,1,0,1,64,64,30
0,0,1,1,1,1,1,64,64,30
0,1,0,0,0,0,1,64,64,30
0,1,0,0,0,1,1,64,64,30
0,1,0,0,1,0,1,64,64,30
0,1,0,0,1,1,1,64,64,30
0,1,0,1,0,0,1,64,64,30
0,1,0,1,0,1,1,64,64,30
0,1,0,1,1,0,1,64,64,30
0,1,0,1,1,1,1,64,64,30
0,1,1,0,0,0,1,64,64,30
0,1,1,0,0,1,1,64,64,30
0,1,1,0,1,0,1,64,64,30
0,1,1,0,1,1,1,64,64,30
0,1,1,1,0,0,1,64,64,30
0,1,1,1,0,1,1,64,64,30
0,1,1,1,1,0,1,64,64,30
0,1,1,1,1,1,1,64,64,30
1,0,0,0,0,0,-1,46,46,30
1,0,0,0,0,1,-1,46,46,30
1,0,0,0,1,0,-1,46,46,30
1,0,0,0,1,1,-1,46,46,30
1,0,0,1,0,0,-1,46,46,30
1,0,0,1,0,1,-1,46,46,30
1,0,0,1,1,0,-1,46,46,30
1,0,0,1,1,1,-1,46,46,30
1,0,1,0,0,0,-1,46,46,30
1,0,1,0,0,1,-1,46,46,30
1,0,1,0,1,0,-1,46,46,30
1,0,1,0,1,1,-1,46,46,30
1,0,1,1,0,0,-1,46,46,30
1,0,1,1,0,1,-1,46,46,30
1,0,1,1,1,0,-1,46,46,30
1,0,1,1,1,1,-1,46,46,30
1,1,0,0,0,0,-1,46,46,30
1,1,0,0,0,1,-1,46,46,30
1,1,0,0,1,0,-1,46,46,30
1,1,0,0,1,1,-1,46,46,30
1,1,0,1,0,0,-1,46,46,30
1,1,0,1,0,1,-1,46,46,30
1,1,0,1,1,0,-1,46,46,30
1,1,0,1,1,1,-1,46,46,30
1,1,1,0,0,0,-1,46,46,30
1,1,1,0,0,1,-1,46,46,30
1,1,1,0,1,0,-1,46,46,30
1,1,1,0,1,1,-1,46,46,30
1,1,1,1,0,0,-1,46,46,30
1,1,1,1,0,1,-1,46,46,30
1,1,1,1,1,0,-1,46,46,30
1,1,1,1,1,1,-1,46,46,30
0,-1,-1,-1,-1,-1,0,76,76,76
