Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothEDRPower,BluetoothBDRPower,BluetoothLEPower
0,0,0,0,0,0,1,64,64,38
0,0,0,0,0,1,1,64,64,38
0,0,0,0,1,0,1,64,64,38
0,0,0,0,1,1,1,64,64,38
0,0,0,1,0,0,1,64,64,38
0,0,0,1,0,1,1,64,64,38
0,0,0,1,1,0,1,64,64,38
0,0,0,1,1,1,1,64,64,38
0,0,1,0,0,0,1,64,64,38
0,0,1,0,0,1,1,64,64,38
0,0,1,0,1,0,1,64,64,38
0,0,1,0,1,1,1,64,64,38
0,0,1,1,0,0,1,64,64,38
0,0,1,1,0,1,1,64,64,38
0,0,1,1,1,0,1,64,64,38
0,0,1,1,1,1,1,64,64,38
0,1,0,0,0,0,1,64,64,38
0,1,0,0,0,1,1,64,64,38
0,1,0,0,1,0,1,64,64,38
0,1,0,0,1,1,1,64,64,38
0,1,0,1,0,0,1,64,64,38
0,1,0,1,0,1,1,64,64,38
0,1,0,1,1,0,1,64,64,38
0,1,0,1,1,1,1,64,64,38
0,1,1,0,0,0,1,64,64,38
0,1,1,0,0,1,1,64,64,38
0,1,1,0,1,0,1,64,64,38
0,1,1,0,1,1,1,64,64,38
0,1,1,1,0,0,1,64,64,38
0,1,1,1,0,1,1,64,64,38
0,1,1,1,1,0,1,64,64,38
0,1,1,1,1,1,1,64,64,38
1,0,0,0,0,0,-1,46,46,38
1,0,0,0,0,1,-1,46,46,38
1,0,0,0,1,0,-1,46,46,38
1,0,0,0,1,1,-1,46,46,38
1,0,0,1,0,0,-1,46,46,38
1,0,0,1,0,1,-1,46,46,38
1,0,0,1,1,0,-1,46,46,38
1,0,0,1,1,1,-1,46,46,38
1,0,1,0,0,0,-1,46,46,38
1,0,1,0,0,1,-1,46,46,38
1,0,1,0,1,0,-1,46,46,38
1,0,1,0,1,1,-1,46,46,38
1,0,1,1,0,0,-1,46,46,38
1,0,1,1,0,1,-1,46,46,38
1,0,1,1,1,0,-1,46,46,38
1,0,1,1,1,1,-1,46,46,38
1,1,0,0,0,0,-1,46,46,38
1,1,0,0,0,1,-1,46,46,38
1,1,0,0,1,0,-1,46,46,38
1,1,0,0,1,1,-1,46,46,38
1,1,0,1,0,0,-1,46,46,38
1,1,0,1,0,1,-1,46,46,38
1,1,0,1,1,0,-1,46,46,38
1,1,0,1,1,1,-1,46,46,38
1,1,1,0,0,0,-1,46,46,38
1,1,1,0,0,1,-1,46,46,38
1,1,1,0,1,0,-1,46,46,38
1,1,1,0,1,1,-1,46,46,38
1,1,1,1,0,0,-1,46,46,38
1,1,1,1,0,1,-1,46,46,38
1,1,1,1,1,0,-1,46,46,38
1,1,1,1,1,1,-1,46,46,38
0,-1,-1,-1,-1,-1,0,76,76,76
