Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothBDRPower,BluetoothEDRPower,BluetoothLEPower
0,0,0,0,0,0,1,48,48,48
0,0,0,0,0,1,1,48,48,48
0,0,0,0,1,0,1,48,48,48
0,0,0,0,1,1,1,48,48,48
0,0,0,1,0,0,1,48,48,48
0,0,0,1,0,1,1,48,48,48
0,0,0,1,1,0,1,48,48,48
0,0,0,1,1,1,1,48,48,48
0,0,1,0,0,0,1,48,48,48
0,0,1,0,0,1,1,48,48,48
0,0,1,0,1,0,1,48,48,48
0,0,1,0,1,1,1,48,48,48
0,0,1,1,0,0,1,48,48,48
0,0,1,1,0,1,1,48,48,48
0,0,1,1,1,0,1,48,48,48
0,0,1,1,1,1,1,48,48,48
0,1,0,0,0,0,1,48,48,48
0,1,0,0,0,1,1,48,48,48
0,1,0,0,1,0,1,48,48,48
0,1,0,0,1,1,1,48,48,48
0,1,0,1,0,0,1,48,48,48
0,1,0,1,0,1,1,48,48,48
0,1,0,1,1,0,1,48,48,48
0,1,0,1,1,1,1,48,48,48
0,1,1,0,0,0,1,48,48,48
0,1,1,0,0,1,1,48,48,48
0,1,1,0,1,0,1,48,48,48
0,1,1,0,1,1,1,48,48,48
0,1,1,1,0,0,1,48,48,48
0,1,1,1,0,1,1,48,48,48
0,1,1,1,1,0,1,48,48,48
0,1,1,1,1,1,1,48,48,48
1,0,0,0,0,0,-1,32,32,32
1,0,0,0,0,1,-1,32,32,32
1,0,0,0,1,0,-1,32,32,32
1,0,0,0,1,1,-1,32,32,32
1,0,0,1,0,0,-1,32,32,32
1,0,0,1,0,1,-1,32,32,32
1,0,0,1,1,0,-1,32,32,32
1,0,0,1,1,1,-1,32,32,32
1,0,1,0,0,0,-1,32,32,32
1,0,1,0,0,1,-1,32,32,32
1,0,1,0,1,0,-1,32,32,32
1,0,1,0,1,1,-1,32,32,32
1,0,1,1,0,0,-1,32,32,32
1,0,1,1,0,1,-1,32,32,32
1,0,1,1,1,0,-1,32,32,32
1,0,1,1,1,1,-1,32,32,32
1,1,0,0,0,0,-1,32,32,32
1,1,0,0,0,1,-1,32,32,32
1,1,0,0,1,0,-1,32,32,32
1,1,0,0,1,1,-1,32,32,32
1,1,0,1,0,0,-1,32,32,32
1,1,0,1,0,1,-1,32,32,32
1,1,0,1,1,0,-1,32,32,32
1,1,0,1,1,1,-1,32,32,32
1,1,1,0,0,0,-1,32,32,32
1,1,1,0,0,1,-1,32,32,32
1,1,1,0,1,0,-1,32,32,32
1,1,1,0,1,1,-1,32,32,32
1,1,1,1,0,0,-1,32,32,32
1,1,1,1,0,1,-1,32,32,32
1,1,1,1,1,0,-1,32,32,32
1,1,1,1,1,1,-1,32,32,32
0,-1,-1,-1,-1,-1,0,76,76,52
